Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
264,0.0,0.0,0.0,0.0,0.009355112404544771,1.9433051610505463e-5,0.0,0.0,0.0,0.00034724434096521946
265,0.0,0.0,0.0,0.0,0.009014964674004002,1.872647448807732e-5,0.0,0.0,0.0,0.0003346186910088316
266,0.0,0.0,0.0,0.0,0.008687184563817623,1.8045588195887546e-5,0.0,0.0,0.0,0.0003224521040752656
267,0.0,0.0,0.0,0.0,0.008371322392804482,1.7389458626763102e-5,0.0,0.0,0.0,0.00031072788883697316
268,0.0,0.0,0.0,0.0,0.008066944829991422,1.6757185637252842e-5,0.0,0.0,0.0,0.00029942996085566173
269,0.0,0.0,0.0,0.0,0.007773634300126891,1.6147901812721446e-5,0.0,0.0,0.0,0.0002885428205160663
270,0.0,0.0,0.0,0.0,0.007490988410810001,1.556077127734445e-5,0.0,0.0,0.0,0.00027805153176204864
271,0.0,0.0,0.0,0.0,0.00721861940044874,1.4994988547370909e-5,0.0,0.0,0.0,0.0002679417016058339
272,0.0,0.0,0.0,0.0,0.0069561536062903015,1.4449777426081187e-5,0.0,0.0,0.0,0.0002581994603822882
273,0.0,0.0,0.0,0.0,0.006703230951793585,1.392438993892358e-5,0.0,0.0,0.0,0.0002488114427211407
274,0.0,0.0,0.0,0.0,0.006459504452640497,1.3418105307368665e-5,0.0,0.0,0.0,0.0002397647692110438
275,0.0,0.0,0.0,0.0,0.00622463974070863,1.2930228960074197e-5,0.0,0.0,0.0,0.0002310470287303258
276,0.0,0.0,0.0,0.0,0.005998314605351911,1.2460091580003266e-5,0.0,0.0,0.0,0.00022264626142018333
277,0.0,0.0,0.0,0.0,0.005780218551360204,1.200704818618905e-5,0.0,0.0,0.0,0.00021455094227696556
278,0.0,0.0,0.0,0.0,0.005570052372991288,1.1570477248886177e-5,0.0,0.0,0.0,0.00020674996534103486
279,0.0,0.0,0.0,0.0,0.005367527743490754,1.1149779836894588e-5,0.0,0.0,0.0,0.00019923262846051017
280,0.0,0.0,0.0,0.0,0.0051723668195369134,1.0744378795886631e-5,0.0,0.0,0.0,0.00019198861860899924
281,0.0,0.0,0.0,0.0,0.004984301860067786,1.035371795660952e-5,0.0,0.0,0.0,0.00018500799773716635
282,0.0,0.0,0.0,0.0,0.004803074858967443,9.977261371877393e-6,0.0,0.0,0.0,0.00017828118913873416
283,0.0,0.0,0.0,0.0,0.004628437191107728,9.614492581305998e-6,0.0,0.0,0.0,0.00017179896431221154
284,0.0,0.0,0.0,0.0,0.004460149271259644,9.264913902781123e-6,0.0,0.0,0.0,0.00016555243030032019
285,0.0,0.0,0.0,0.0,0.0042979802254067044,8.928045749689171e-6,0.0,0.0,0.0,0.00015953301748975837
286,0.0,0.0,0.0,0.0,0.004141707574009054,8.603425972972675e-6,0.0,0.0,0.0,0.00015373246785455548
287,0.0,0.0,0.0,0.0,0.003991116926784091,8.29060922710862e-6,0.0,0.0,0.0,0.00014814282362689713
288,0.0,0.0,0.0,0.0,0.0038460016885846077,7.989166359139298e-6,0.0,0.0,0.0,0.00014275641637987035
289,0.0,0.0,0.0,0.0,0.0037061627759711643,7.698683819917874e-6,0.0,0.0,0.0,0.00013756585650715752
290,0.0,0.0,0.0,0.0,0.003571408344089744,7.41876309676079e-6,0.0,0.0,0.0,0.00013256402308524436
291,0.0,0.0,0.0,0.0,0.003441553523479958,7.149020166728547e-6,0.0,0.0,0.0,0.0001277440541042307
292,0.0,0.0,0.0,0.0,0.0033164201664528867,6.889084969785157e-6,0.0,0.0,0.0,0.00012309933705384853
293,0.0,0.0,0.0,0.0,0.003195836602690407,6.638600901113086e-6,0.0,0.0,0.0,0.00011862349985176445
294,0.0,0.0,0.0,0.0,0.0030796374037308943,6.397224321887527e-6,0.0,0.0,0.0,0.00011431040210172775
295,0.0,0.0,0.0,0.0,0.0029676631560181005,6.164624087838696e-6,0.0,0.0,0.0,0.00011015412666956769
296,0.0,0.0,0.0,0.0,0.002859760242201837,5.940481094955286e-6,0.0,0.0,0.0,0.00010614897156548226
297,0.0,0.0,0.0,0.0,0.002755780630390534,5.724487841706106e-6,0.0,0.0,0.0,0.00010228944212148598
298,0.0,0.0,0.0,0.0,0.0026555816710664144,5.516348007178988e-6,0.0,0.0,0.0,9.857024345327954e-5
299,0.0,0.0,0.0,0.0,0.0025590259013847892,5.315776044558469e-6,0.0,0.0,0.0,9.498627319620413e-5
300,0.0,0.0,0.0,0.0,0.0024659808565889395,5.12249678938446e-6,0.0,0.0,0.0,9.153261450531357e-5
301,0.0,0.0,0.0,0.0,0.0023763188882818293,4.936245082054348e-6,0.0,0.0,0.0,8.820452930995864e-5
302,0.0,0.0,0.0,0.0,0.0022899169893054426,4.756765404050895e-6,0.0,0.0,0.0,8.499745181363442e-5
303,0.0,0.0,0.0,0.0,0.0022066566249873618,4.583811527396595e-6,0.0,0.0,0.0,8.190698223016791e-5
304,0.0,0.0,0.0,0.0,0.002126423570523196,4.417146176853808e-6,0.0,0.0,0.0,7.892888074765647e-5
305,0.0,0.0,0.0,0.0,0.002049107754271701,4.256540704407134e-6,0.0,0.0,0.0,7.605906171187497e-5
306,0.0,0.0,0.0,0.0,0.001974603106747591,4.1017747755813966e-6,0.0,0.0,0.0,7.329358802117008e-5
307,0.0,0.0,0.0,0.0,0.0019028074151049503,3.952636067165069e-6,0.0,0.0,0.0,7.062866572515582e-5
308,0.0,0.0,0.0,0.0,0.0018336221829115176,3.808919975924238e-6,0.0,0.0,0.0,6.806063881979622e-5
309,0.0,0.0,0.0,0.0,0.0017669524950215472,3.670429337907673e-6,0.0,0.0,0.0,6.558598423173773e-5
310,0.0,0.0,0.0,0.0,0.0017027068873618312,3.5369741579578286e-6,0.0,0.0,0.0,6.320130698500894e-5
311,0.0,0.0,0.0,0.0,0.0016407972214522134,3.408371349056646e-6,0.0,0.0,0.0,6.090333554345594e-5
312,0.0,0.0,0.0,0.0,0.0015811385634885281,3.2844444811487235e-6,0.0,0.0,0.0,5.8688917322526246e-5
313,0.0,0.0,0.0,0.0,0.001523649067821981,3.16502353909706e-6,0.0,0.0,0.0,5.655501436424059e-5
314,0.0,0.0,0.0,0.0,0.0014682498646752154,3.049944689439522e-6,0.0,0.0,0.0,5.449869916942246e-5
315,0.0,0.0,0.0,0.0,0.0014148649519409291,2.939050055625852e-6,0.0,0.0,0.0,5.2517150681464436e-5
316,0.0,0.0,0.0,0.0,0.0013634210909146734,2.832187501427013e-6,0.0,0.0,0.0,5.060765041612393e-5
317,0.0,0.0,0.0,0.0,0.001313847705818761,2.729210422219678e-6,0.0,0.0,0.0,4.876757873203787e-5
318,0.0,0.0,0.0,0.0,0.0012660767869794153,2.6299775438594693e-6,0.0,0.0,0.0,4.699441123683889e-5
319,0.0,0.0,0.0,0.0,0.0012200427975243896,2.534352728867146e-6,0.0,0.0,0.0,4.528571532394481e-5
320,0.0,0.0,0.0,0.0,0.0011756825834729877,2.4422047896617157e-6,0.0,0.0,0.0,4.363914683526778e-5
321,0.0,0.0,0.0,0.0,0.0011329352870951927,2.3534073085843422e-6,0.0,0.0,0.0,4.205244684526647e-5
322,0.0,0.0,0.0,0.0,0.0010917422634210178,2.2678384644661115e-6,0.0,0.0,0.0,4.052343856192883e-5
323,0.0,0.0,0.0,0.0,0.0010520469997855203,2.185380865501668e-6,0.0,0.0,0.0,3.905002434043293e-5
324,0.0,0.0,0.0,0.0,0.0010137950382991547,2.1059213881995585e-6,0.0,0.0,0.0,3.763018280539086e-5
325,0.0,0.0,0.0,0.0,0.0009769339011370375,2.0293510221882056e-6,0.0,0.0,0.0,3.62619660777255e-5
326,0.0,0.0,0.0,0.0,0.0009414130185446827,1.95556472066471e-6,0.0,0.0,0.0,3.494349710237753e-5
327,0.0,0.0,0.0,0.0,0.0009071836594614137,1.8844612562812628e-6,0.0,0.0,0.0,3.367296707317581e-5
