Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
57,0.0,0.0,0.0,0.0,119.38065010237523,69.59820506226058,0.0,0.0,0.0,315.4923881101423
58,0.0,0.0,0.0,0.0,120.25353331628703,67.55802808454693,0.0,0.0,0.0,306.2441566896566
59,0.0,0.0,0.0,0.0,121.09467888436411,65.55701912581532,0.0,0.0,0.0,297.1734759953013
60,0.0,0.0,0.0,0.0,121.905240773308,63.59625380289349,0.0,0.0,0.0,288.28522185571865
61,0.0,0.0,0.0,0.0,122.68633099210355,61.67659014887364,0.0,0.0,0.0,279.58328378083326
62,0.0,0.0,0.0,0.0,123.4390211175831,59.79868926694118,0.0,0.0,0.0,271.0706585867638
63,0.0,0.0,0.0,0.0,124.16434376452139,57.9630343234567,0.0,0.0,0.0,262.7495364924794
64,0.0,0.0,0.0,0.0,124.86329400227879,56.16994800563015,0.0,0.0,0.0,254.62138025637168
65,0.0,0.0,0.0,0.0,125.53683071993584,54.419608559932705,0.0,0.0,0.0,246.6869978792332
66,0.0,0.0,0.0,0.0,126.18587794179209,52.71206451886177,0.0,0.0,0.0,238.94660936147196
67,0.0,0.0,0.0,0.0,126.81132609503416,51.04724821576229,0.0,0.0,0.0,231.39990796651944
68,0.0,0.0,0.0,0.0,127.41403323131179,49.42498818006927,0.0,0.0,0.0,224.04611640912822
69,0.0,0.0,0.0,0.0,127.9948262038979,47.84502049852991,0.0,0.0,0.0,216.8840383564
70,0.0,0.0,0.0,0.0,128.55450180204787,46.30699922164967,0.0,0.0,0.0,209.91210560076237
71,0.0,0.0,0.0,0.0,129.09382784411366,44.81050588875291,0.0,0.0,0.0,203.12842123757872
72,0.0,0.0,0.0,0.0,129.6135442309132,43.355058239618124,0.0,0.0,0.0,196.53079915545675
73,0.0,0.0,0.0,0.0,130.11436396079938,41.94011817561327,0.0,0.0,0.0,190.11680012450086
74,0.0,0.0,0.0,0.0,130.59697410782175,40.5650990285872,0.0,0.0,0.0,183.88376474658622
75,0.0,0.0,0.0,0.0,131.0620367643227,39.22937219144444,0.0,0.0,0.0,177.8288435121091
76,0.0,0.0,0.0,0.0,131.5101899492612,37.93227316031622,0.0,0.0,0.0,171.9490241894712
77,0.0,0.0,0.0,0.0,131.94204848351035,36.67310703451965,0.0,0.0,0.0,166.24115675668932
