Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
45.5,0.02473,113.57144606360646,9925.0,0.0,3.2643396022494385e-5,0.0,0.0,0.0066677180170652646,0.0,0.0006738914692997616,0.0,1.228771373653142e-5,0.0,0.0,0.01734345940387595
46.5,0.02302,114.80883534517054,9378.0,0.0,3.034587376302628e-5,0.0,0.0,0.0062067938287872606,0.0,0.0006268980597476793,0.0,1.1416754181484301e-5,0.0,0.0,0.01614454548352055
47.5,0.0218,116.22974123977218,8862.0,0.0,2.8694644583419335e-5,0.0,0.0,0.005877993085819504,0.0,0.0005932244581444386,0.0,1.0788804017387594e-5,0.0,0.0,0.015289299007435251
48.5,0.02065,117.63383826905796,8380.0,0.0,2.7140767257440945e-5,0.0,0.0,0.005568049351928257,0.0,0.0005615099320076504,0.0,1.0198286920605586e-5,0.0,0.0,0.01448310166188605
49.5,0.0193,119.06397948838018,7916.0,0.0,2.532824855290659e-5,0.0,0.0,0.00520416378325576,0.0,0.0005244009701998266,0.0,9.511257887902338e-6,0.0,0.0,0.013536595740103607
50.5,0.01817,120.48131850836779,7480.0,0.0,2.380754281536548e-5,0.0,0.0,0.004899588794670557,0.0,0.0004933060925654626,0.0,8.934485221822689e-6,0.0,0.0,0.012744363084726791
51.5,0.01744,121.89567770143418,7065.0,0.0,2.2809268290663816e-5,0.0,0.0,0.004702877452117631,0.0,0.0004730638163156253,0.0,8.553964838462822e-6,0.0,0.0,0.01223269549843762
52.5,0.01628,123.3064157430572,6674.0,0.0,2.1253307296552917e-5,0.0,0.0,0.00439019704456776,0.0,0.00044120490367265743,0.0,7.96497726195794e-6,0.0,0.0,0.01141937976720107
53.5,0.01537,124.7078770793028,6307.0,0.0,2.0028961734915212e-5,0.0,0.0,0.0041449167909307656,0.0,0.0004161740639677146,0.0,7.50102006599449e-6,0.0,0.0,0.01078137916330061
54.5,0.01489,126.13504904022889,5954.0,0.0,1.936766453578399e-5,0.0,0.0,0.004015588451057637,0.0,0.00040281346852186423,0.0,7.248323758914833e-6,0.0,0.0,0.010444982092125799
55.5,0.01402,127.40428998396058,5621.0,0.0,1.8201544931894256e-5,0.0,0.0,0.0037809060627384573,0.0,0.0003789180880915974,0.0,6.806438986256318e-6,0.0,0.0,0.009835167865251794
56.5,0.01318,128.50495548053647,5303.0,0.0,1.707729545149559e-5,0.0,0.0,0.0035541368126115204,0.0,0.00035585412200037656,0.0,6.380029202227291e-6,0.0,0.0,0.00924655174073438
57.5,0.0121,129.57538727532423,5011.0,0.0,1.5647898004243307e-5,0.0,0.0,0.003262689476489031,0.0,0.0003263723185124385,0.0,5.840669910480735e-6,0.0,0.0,0.008489449637083807
58.5,0.0112,130.61821224858974,4742.0,0.0,1.4456963400371655e-5,0.0,0.0,0.0030198178655499643,0.0,0.00030180634318756496,0.0,5.391344151306748e-6,0.0,0.0,0.007858527483710792
59.5,0.01029,131.64184338692442,4492.0,0.0,1.3257992775281087e-5,0.0,0.0,0.0027742842150268524,0.0,0.0002770229694122957,0.0,4.9399003381454975e-6,0.0,0.0,0.007220494922447427
60.5,0.009602,132.6396424976684,4261.0,0.0,1.2349447790274155e-5,0.0,0.0,0.0025886348672994218,0.0,0.0002582631845296498,0.0,4.597460021079232e-6,0.0,0.0,0.006738155040359576
61.5,0.008991,133.48212204437942,4045.0,0.0,1.1542245736058991e-5,0.0,0.0,0.002423735769475404,0.0,0.0002415900383912994,0.0,4.293140632950363e-6,0.0,0.0,0.0063098388057642885
62.5,0.008408,134.28473455724762,3843.0,0.0,1.0773985916430343e-5,0.0,0.0,0.002266405053154427,0.0,0.00022570105458828964,0.0,4.003846560122086e-6,0.0,0.0,0.005901116059780731
63.5,0.007897,135.0748541280698,3654.0,0.0,1.0100889834154289e-5,0.0,0.0,0.002128506620926328,0.0,0.000211777375572121,0.0,3.750445453019483e-6,0.0,0.0,0.005542864668214377
