Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
114.5,0.0,0.0,0.0,0.0007217,150.2,7.217000000000001e-5,0.0,0.0,0.0,0.00064953
115.5,0.0,0.0,0.0,0.0006915,150.1,6.915e-5,0.0,0.0,0.0,0.0006223499999999999
116.5,0.0,0.0,0.0,0.0006626,150.1,6.625999999999999e-5,0.0,0.0,0.0,0.00059634
117.5,0.0,0.0,0.0,0.0006352,150.0,6.352e-5,0.0,0.0,0.0,0.0005716800000000001
118.5,0.0,0.0,0.0,0.000609,149.9,6.0899999999999996e-5,0.0,0.0,0.0,0.0005480999999999999
119.5,0.0,0.0,0.0,0.0005836,149.8,5.8360000000000004e-5,0.0,0.0,0.0,0.00052524
120.5,0.0,0.0,0.0,0.0005584,150.0,5.584000000000001e-5,0.0,0.0,0.0,0.00050256
121.5,0.0,0.0,0.0,0.0005343,150.2,5.343000000000001e-5,0.0,0.0,0.0,0.00048087000000000005
122.5,0.0,0.0,0.0,0.0005105,150.6,5.105e-5,0.0,0.0,0.0,0.00045945000000000003
123.5,0.0,0.0,0.0,0.0004861,151.6,4.8610000000000004e-5,0.0,0.0,0.0,0.00043749
124.5,0.0,0.0,0.0,0.0004628,152.6,4.628e-5,0.0,0.0,0.0,0.00041652
125.5,0.0,0.0,0.0,0.000441,153.5,4.41e-5,0.0,0.0,0.0,0.0003969
126.5,0.0,0.0,0.0,0.0004208,154.3,4.2080000000000004e-5,0.0,0.0,0.0,0.00037872
127.5,0.0,0.0,0.0,0.0004016,155.0,4.016e-5,0.0,0.0,0.0,0.00036144000000000004
128.5,0.0,0.0,0.0,0.0003837,155.6,3.837e-5,0.0,0.0,0.0,0.00034533000000000003
129.5,0.0,0.0,0.0,0.0003677,155.8,3.677e-5,0.0,0.0,0.0,0.00033093
130.5,0.0,0.0,0.0,0.0003524,156.0,3.524e-5,0.0,0.0,0.0,0.00031716000000000003
131.5,0.0,0.0,0.0,0.0003377,156.2,3.3770000000000004e-5,0.0,0.0,0.0,0.00030393000000000005
132.5,0.0,0.0,0.0,0.0003235,156.6,3.235e-5,0.0,0.0,0.0,0.00029115
133.5,0.0,0.0,0.0,0.0003098,156.9,3.098e-5,0.0,0.0,0.0,0.00027882
134.5,0.0,0.0,0.0,0.0002967,157.3,2.9670000000000002e-5,0.0,0.0,0.0,0.00026703
135.5,0.0,0.0,0.0,0.0002846,157.4,2.846e-5,0.0,0.0,0.0,0.00025613999999999997
136.5,0.0,0.0,0.0,0.000273,157.4,2.7300000000000003e-5,0.0,0.0,0.0,0.0002457
137.5,0.0,0.0,0.0,0.0002619,157.5,2.6190000000000005e-5,0.0,0.0,0.0,0.00023571000000000003
138.5,0.0,0.0,0.0,0.0002497,158.6,2.497e-5,0.0,0.0,0.0,0.00022473
139.5,0.0,0.0,0.0,0.0002375,160.3,2.375e-5,0.0,0.0,0.0,0.00021375
140.5,0.0,0.0,0.0,0.0002259,161.9,2.259e-5,0.0,0.0,0.0,0.00020331
141.5,0.0,0.0,0.0,0.0002155,163.0,2.1550000000000002e-5,0.0,0.0,0.0,0.00019395
142.5,0.0,0.0,0.0,0.0002065,163.6,2.065e-5,0.0,0.0,0.0,0.00018585000000000002
143.5,0.0,0.0,0.0,0.0001979,164.1,1.9790000000000002e-5,0.0,0.0,0.0,0.00017811000000000001
144.5,0.0,0.0,0.0,0.0001897,164.6,1.8970000000000003e-5,0.0,0.0,0.0,0.00017073000000000001
145.5,0.0,0.0,0.0,0.0001822,164.9,1.8220000000000002e-5,0.0,0.0,0.0,0.00016398
146.5,0.0,0.0,0.0,0.0001749,165.1,1.749e-5,0.0,0.0,0.0,0.00015741
147.5,0.0,0.0,0.0,0.000168,165.3,1.68e-5,0.0,0.0,0.0,0.0001512
148.5,0.0,0.0,0.0,0.000161,165.9,1.6100000000000002e-5,0.0,0.0,0.0,0.00014490000000000003
149.5,0.0,0.0,0.0,0.0001542,166.7,1.542e-5,0.0,0.0,0.0,0.00013878000000000002
150.5,0.0,0.0,0.0,0.0001476,167.5,1.4760000000000001e-5,0.0,0.0,0.0,0.00013284
151.5,0.0,0.0,0.0,0.0001416,168.1,1.416e-5,0.0,0.0,0.0,0.00012744
152.5,0.0,0.0,0.0,0.0001361,168.3,1.361e-5,0.0,0.0,0.0,0.00012249
153.5,0.0,0.0,0.0,0.0001309,168.5,1.3090000000000002e-5,0.0,0.0,0.0,0.00011781000000000001
154.5,0.0,0.0,0.0,0.0001258,168.7,1.258e-5,0.0,0.0,0.0,0.00011322
155.5,0.0,0.0,0.0,0.0001211,168.7,1.2110000000000001e-5,0.0,0.0,0.0,0.00010899
156.5,0.0,0.0,0.0,0.0001166,168.8,1.166e-5,0.0,0.0,0.0,0.00010494000000000001
157.5,0.0,0.0,0.0,0.0001122,168.8,1.1220000000000001e-5,0.0,0.0,0.0,0.00010098
158.5,0.0,0.0,0.0,0.000108,168.7,1.08e-5,0.0,0.0,0.0,9.72e-5
159.5,0.0,0.0,0.0,0.0001041,168.6,1.041e-5,0.0,0.0,0.0,9.368999999999999e-5
160.5,0.0,0.0,0.0,0.0001003,168.5,1.003e-5,0.0,0.0,0.0,9.027e-5
161.5,0.0,0.0,0.0,9.658e-5,168.3,9.658000000000001e-6,0.0,0.0,0.0,8.6922e-5
162.5,0.0,0.0,0.0,9.279e-5,168.6,9.279e-6,0.0,0.0,0.0,8.3511e-5
163.5,0.0,0.0,0.0,8.911e-5,169.0,8.911000000000002e-6,0.0,0.0,0.0,8.019900000000001e-5
164.5,0.0,0.0,0.0,8.557e-5,169.4,8.557e-6,0.0,0.0,0.0,7.7013e-5
165.5,0.0,0.0,0.0,8.245e-5,169.2,8.245e-6,0.0,0.0,0.0,7.4205e-5
166.5,0.0,0.0,0.0,7.995e-5,168.0,7.995e-6,0.0,0.0,0.0,7.195500000000001e-5
167.5,0.0,0.0,0.0,7.753e-5,166.7,7.753e-6,0.0,0.0,0.0,6.9777e-5
168.5,0.0,0.0,0.0,7.519e-5,165.4,7.519e-6,0.0,0.0,0.0,6.767100000000001e-5
169.5,0.0,0.0,0.0,7.27e-5,164.5,7.270000000000001e-6,0.0,0.0,0.0,6.543e-5
170.5,0.0,0.0,0.0,7.023e-5,163.7,7.023e-6,0.0,0.0,0.0,6.320699999999999e-5
171.5,0.0,0.0,0.0,6.786e-5,162.9,6.786000000000001e-6,0.0,0.0,0.0,6.1074e-5
172.5,0.0,0.0,0.0,6.557e-5,162.1,6.557e-6,0.0,0.0,0.0,5.9013e-5
173.5,0.0,0.0,0.0,6.34e-5,161.0,6.34e-6,0.0,0.0,0.0,5.706e-5
174.5,0.0,0.0,0.0,6.13e-5,160.0,6.130000000000001e-6,0.0,0.0,0.0,5.517e-5
175.5,0.0,0.0,0.0,5.927e-5,159.0,5.927e-6,0.0,0.0,0.0,5.3343e-5
176.5,0.0,0.0,0.0,5.714e-5,158.4,5.714e-6,0.0,0.0,0.0,5.1426e-5
177.5,0.0,0.0,0.0,5.497e-5,158.1,5.497e-6,0.0,0.0,0.0,4.9473e-5
178.5,0.0,0.0,0.0,5.289e-5,157.7,5.289e-6,0.0,0.0,0.0,4.7601e-5
179.5,0.0,0.0,0.0,5.089e-5,157.4,5.089000000000001e-6,0.0,0.0,0.0,4.5801000000000004e-5
180.5,0.0,0.0,0.0,4.873e-5,157.8,4.873000000000001e-6,0.0,0.0,0.0,4.3857000000000004e-5
181.5,0.0,0.0,0.0,4.665e-5,158.3,4.665e-6,0.0,0.0,0.0,4.1985000000000005e-5
182.5,0.0,0.0,0.0,4.466e-5,158.7,4.466e-6,0.0,0.0,0.0,4.0194e-5
183.5,0.0,0.0,0.0,4.284e-5,158.9,4.284000000000001e-6,0.0,0.0,0.0,3.8556e-5
184.5,0.0,0.0,0.0,4.124e-5,158.4,4.124e-6,0.0,0.0,0.0,3.7116e-5
185.5,0.0,0.0,0.0,3.97e-5,158.0,3.97e-6,0.0,0.0,0.0,3.5730000000000005e-5
186.5,0.0,0.0,0.0,3.821e-5,157.6,3.821e-6,0.0,0.0,0.0,3.4389000000000006e-5
187.5,0.0,0.0,0.0,3.655e-5,158.3,3.655e-6,0.0,0.0,0.0,3.2895e-5
188.5,0.0,0.0,0.0,3.486e-5,159.3,3.486e-6,0.0,0.0,0.0,3.1374e-5
189.5,0.0,0.0,0.0,3.325e-5,160.4,3.3250000000000004e-6,0.0,0.0,0.0,2.9925000000000002e-5
190.5,0.0,0.0,0.0,3.173e-5,161.5,3.1730000000000004e-6,0.0,0.0,0.0,2.8557000000000005e-5
191.5,0.0,0.0,0.0,3.064e-5,160.7,3.064e-6,0.0,0.0,0.0,2.7575999999999998e-5
192.5,0.0,0.0,0.0,2.959e-5,159.9,2.959e-6,0.0,0.0,0.0,2.6631e-5
193.5,0.0,0.0,0.0,2.857e-5,159.0,2.857e-6,0.0,0.0,0.0,2.5713e-5
194.5,0.0,0.0,0.0,2.754e-5,158.5,2.7540000000000002e-6,0.0,0.0,0.0,2.4786e-5
195.5,0.0,0.0,0.0,2.643e-5,158.6,2.643e-6,0.0,0.0,0.0,2.3787e-5
196.5,0.0,0.0,0.0,2.537e-5,158.6,2.537e-6,0.0,0.0,0.0,2.2833e-5
197.5,0.0,0.0,0.0,2.436e-5,158.7,2.436e-6,0.0,0.0,0.0,2.1924000000000002e-5
198.5,0.0,0.0,0.0,2.341e-5,158.5,2.341e-6,0.0,0.0,0.0,2.1069e-5
199.5,0.0,0.0,0.0,2.253e-5,158.2,2.253e-6,0.0,0.0,0.0,2.0277e-5
200.5,0.0,0.0,0.0,2.168e-5,157.9,2.168e-6,0.0,0.0,0.0,1.9512e-5
201.5,0.0,0.0,0.0,2.086e-5,157.5,2.086e-6,0.0,0.0,0.0,1.8774e-5
202.5,0.0,0.0,0.0,2.0e-5,157.8,2.0000000000000003e-6,0.0,0.0,0.0,1.8e-5
203.5,0.0,0.0,0.0,1.916e-5,158.1,1.916e-6,0.0,0.0,0.0,1.7244e-5
204.5,0.0,0.0,0.0,1.836e-5,158.4,1.836e-6,0.0,0.0,0.0,1.6524e-5
205.5,0.0,0.0,0.0,1.759e-5,158.6,1.759e-6,0.0,0.0,0.0,1.5831e-5
206.5,0.0,0.0,0.0,1.687e-5,158.9,1.6870000000000001e-6,0.0,0.0,0.0,1.5183e-5
207.5,0.0,0.0,0.0,1.618e-5,159.1,1.6180000000000002e-6,0.0,0.0,0.0,1.4562e-5
208.5,0.0,0.0,0.0,1.552e-5,159.4,1.5520000000000001e-6,0.0,0.0,0.0,1.3968e-5
209.5,0.0,0.0,0.0,1.491e-5,159.3,1.491e-6,0.0,0.0,0.0,1.3419e-5
210.5,0.0,0.0,0.0,1.436e-5,158.9,1.436e-6,0.0,0.0,0.0,1.2924e-5
211.5,0.0,0.0,0.0,1.383e-5,158.5,1.3830000000000001e-6,0.0,0.0,0.0,1.2447e-5
212.5,0.0,0.0,0.0,1.332e-5,158.0,1.3320000000000001e-6,0.0,0.0,0.0,1.1988e-5
213.5,0.0,0.0,0.0,1.277e-5,158.3,1.277e-6,0.0,0.0,0.0,1.1493e-5
214.5,0.0,0.0,0.0,1.222e-5,158.9,1.2220000000000001e-6,0.0,0.0,0.0,1.0998e-5
215.5,0.0,0.0,0.0,1.169e-5,159.5,1.1690000000000002e-6,0.0,0.0,0.0,1.0521e-5
216.5,0.0,0.0,0.0,1.118e-5,160.0,1.118e-6,0.0,0.0,0.0,1.0062e-5
217.5,0.0,0.0,0.0,1.079e-5,159.3,1.079e-6,0.0,0.0,0.0,9.711e-6
218.5,0.0,0.0,0.0,1.043e-5,158.4,1.043e-6,0.0,0.0,0.0,9.387e-6
219.5,0.0,0.0,0.0,1.007e-5,157.4,1.007e-6,0.0,0.0,0.0,9.063000000000001e-6
220.5,0.0,0.0,0.0,9.72e-6,156.7,9.72e-7,0.0,0.0,0.0,8.748e-6
221.5,0.0,0.0,0.0,9.267e-6,157.8,9.267e-7,0.0,0.0,0.0,8.3403e-6
222.5,0.0,0.0,0.0,8.836e-6,158.9,8.836e-7,0.0,0.0,0.0,7.9524e-6
223.5,0.0,0.0,0.0,8.425e-6,160.0,8.425e-7,0.0,0.0,0.0,7.5825e-6
224.5,0.0,0.0,0.0,8.061e-6,160.5,8.061e-7,0.0,0.0,0.0,7.2549e-6
225.5,0.0,0.0,0.0,7.771e-6,160.0,7.771000000000001e-7,0.0,0.0,0.0,6.993900000000001e-6
226.5,0.0,0.0,0.0,7.492e-6,159.4,7.492e-7,0.0,0.0,0.0,6.7428e-6
227.5,0.0,0.0,0.0,7.223e-6,158.9,7.223000000000001e-7,0.0,0.0,0.0,6.5007e-6
228.5,0.0,0.0,0.0,6.968e-6,158.2,6.968e-7,0.0,0.0,0.0,6.2712e-6
229.5,0.0,0.0,0.0,6.727e-6,157.3,6.727e-7,0.0,0.0,0.0,6.054300000000001e-6
230.5,0.0,0.0,0.0,6.494e-6,156.4,6.494000000000001e-7,0.0,0.0,0.0,5.8446e-6
231.5,0.0,0.0,0.0,6.27e-6,155.5,6.270000000000001e-7,0.0,0.0,0.0,5.643e-6
232.5,0.0,0.0,0.0,6.017e-6,155.5,6.017000000000001e-7,0.0,0.0,0.0,5.4153000000000005e-6
233.5,0.0,0.0,0.0,5.758e-6,155.9,5.758000000000001e-7,0.0,0.0,0.0,5.1822e-6
234.5,0.0,0.0,0.0,5.511e-6,156.3,5.511e-7,0.0,0.0,0.0,4.9599000000000006e-6
235.5,0.0,0.0,0.0,5.274e-6,156.7,5.274e-7,0.0,0.0,0.0,4.7466e-6
236.5,0.0,0.0,0.0,5.068e-6,156.5,5.068e-7,0.0,0.0,0.0,4.5612e-6
237.5,0.0,0.0,0.0,4.874e-6,156.2,4.874000000000001e-7,0.0,0.0,0.0,4.3866000000000005e-6
238.5,0.0,0.0,0.0,4.688e-6,155.9,4.688e-7,0.0,0.0,0.0,4.2192e-6
239.5,0.0,0.0,0.0,4.508e-6,155.6,4.508e-7,0.0,0.0,0.0,4.0572e-6
240.5,0.0,0.0,0.0,4.318e-6,155.9,4.3180000000000004e-7,0.0,0.0,0.0,3.8862e-6
241.5,0.0,0.0,0.0,4.136e-6,156.2,4.136e-7,0.0,0.0,0.0,3.7224e-6
242.5,0.0,0.0,0.0,3.962e-6,156.5,3.9620000000000007e-7,0.0,0.0,0.0,3.5658000000000002e-6
243.5,0.0,0.0,0.0,3.792e-6,157.0,3.792e-7,0.0,0.0,0.0,3.4127999999999997e-6
244.5,0.0,0.0,0.0,3.617e-6,158.1,3.617e-7,0.0,0.0,0.0,3.2553e-6
245.5,0.0,0.0,0.0,3.45e-6,159.2,3.4500000000000003e-7,0.0,0.0,0.0,3.105e-6
246.5,0.0,0.0,0.0,3.291e-6,160.2,3.291e-7,0.0,0.0,0.0,2.9619e-6
247.5,0.0,0.0,0.0,3.147e-6,161.0,3.1470000000000003e-7,0.0,0.0,0.0,2.8323e-6
248.5,0.0,0.0,0.0,3.025e-6,160.9,3.025e-7,0.0,0.0,0.0,2.7224999999999998e-6
249.5,0.0,0.0,0.0,2.908e-6,160.9,2.9080000000000004e-7,0.0,0.0,0.0,2.6172e-6
250.5,0.0,0.0,0.0,2.795e-6,160.8,2.795e-7,0.0,0.0,0.0,2.5155e-6
251.5,0.0,0.0,0.0,2.697e-6,160.2,2.6970000000000004e-7,0.0,0.0,0.0,2.4273e-6
252.5,0.0,0.0,0.0,2.614e-6,158.7,2.614e-7,0.0,0.0,0.0,2.3526e-6
