Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
104.5,0.00108,155.96663632136705,595.7,0.0,1.3863655729998754e-6,0.0,0.0,0.00029050595205144,0.0,2.893489152316699e-5,0.0,4.480469848922986e-7,0.0,0.0,0.0007587247438675009
105.5,0.001039,156.45498228076602,571.1,0.0,1.3299070569725494e-6,0.0,0.0,0.0002794665206961295,0.0,2.779414964074376e-5,0.0,4.29224715202935e-7,0.0,0.0,0.0007299801978909512
106.5,0.0009972,156.94366410742361,547.5,0.0,1.2727375304309438e-6,0.0,0.0,0.00026821275241075386,0.0,2.6635408602129882e-5,0.0,4.102225382569903e-7,0.0,0.0,0.0007006688789184284
107.5,0.0009541,157.43179971675173,524.9,0.0,1.2142347961199938e-6,0.0,0.0,0.0002566102169721144,0.0,2.5445497191291092e-5,0.0,3.9084200135936323e-7,0.0,0.0,0.0006704392090391151
108.5,0.0009128,157.91813664916845,503.2,0.0,1.158330517474061e-6,0.0,0.0,0.00024549278148521187,0.0,2.430697051190144e-5,0.0,3.7234551629858177e-7,0.0,0.0,0.000641469571969114
109.5,0.0008769,158.3465868870234,482.4,0.0,1.1094476578881186e-6,0.0,0.0,0.00023583108600365376,0.0,2.3314541577766615e-5,0.0,3.5611676351679984e-7,0.0,0.0,0.0006162888079971747
110.5,0.0008429,158.77415441031948,462.5,0.0,1.0632498305351012e-6,0.0,0.0,0.00022668088886872363,0.0,2.23756588189354e-5,0.0,3.407957625472426e-7,0.0,0.0,0.0005924394067192586
111.5,0.0008108,159.2044899648619,443.3,0.0,1.0196874887409741e-6,0.0,0.0,0.00021804209602162216,0.0,2.148978462204849e-5,0.0,3.263586748683732e-7,0.0,0.0,0.0005699220731927201
112.5,0.0007809,159.6371442325064,424.8,0.0,9.791196810487334e-7,0.0,0.0,0.00020999535145513172,0.0,2.0664675039313998e-5,0.0,3.129173605631872e-7,0.0,0.0,0.0005489479364639422
113.5,0.0007521,160.06910166404225,407.1,0.0,9.401670550333034e-7,0.0,0.0,0.0002022448530397991,0.0,1.987122519752723e-5,0.0,3.0003072805585935e-7,0.0,0.0,0.0005287437239795846
114.5,0.0007217,160.50203470887217,390.1,0.0,8.99440063159778e-7,0.0,0.0,0.0001940645272954846,0.0,1.9037945394891645e-5,0.0,2.8661461644164654e-7,0.0,0.0,0.0005074114726300223
115.5,0.0006915,160.92695401772147,373.7,0.0,8.591716965270385e-7,0.0,0.0,0.00018593819585457347,0.0,1.821222696961674e-5,0.0,2.7338080604235725e-7,0.0,0.0,0.0004862170246732403
116.5,0.0006626,161.23633532032235,358.0,0.0,8.206590240680638e-7,0.0,0.0,0.00017815989090676622,0.0,1.7422430522970776e-5,0.0,2.607491573057449e-7,0.0,0.0,0.00046593627038888914
117.5,0.0006352,161.5469692526279,342.9,0.0,7.842232834259262e-7,0.0,0.0,0.00017078548568593668,0.0,1.6674441934222768e-5,0.0,2.4881093334196876e-7,0.0,0.0,0.0004467070381630727
118.5,0.000609,161.856218438189,328.5,0.0,7.494981741724892e-7,0.0,0.0,0.00016373433626495706,0.0,1.596043673983092e-5,0.0,2.3745027760271016e-7,0.0,0.0,0.0004283182785434368
119.5,0.0005836,162.16557583647534,314.7,0.0,7.15965490671161e-7,0.0,0.0,0.00015689883073921729,0.0,1.5269651676455246e-5,0.0,2.2649903033705034e-7,0.0,0.0,0.00041048905306331925
120.5,0.0005584,162.4744485080545,301.5,0.0,6.828854372036131e-7,0.0,0.0,0.00015011765536549753,0.0,1.4586352389176201e-5,0.0,2.1572240179053212e-7,0.0,0.0,0.0003927973844063322
121.5,0.0005343,162.7846606286094,288.8,0.0,6.513392484846789e-7,0.0,0.0,0.00014363271047272724,0.0,1.3933838693158502e-5,0.0,2.0545895004624624e-7,0.0,0.0,0.00037587665263558336
122.5,0.0005105,163.055159602402,276.7,0.0,6.203238601656647e-7,0.0,0.0,0.00013723004792095484,0.0,1.3290753633478568e-5,0.0,1.9538057776011622e-7,0.0,0.0,0.0003591634940076408
123.5,0.0004861,163.2362984798884,265.2,0.0,5.887077990019362e-7,0.0,0.0,0.00013066890999659993,0.0,1.2633044504941357e-5,0.0,1.8511738293684328e-7,0.0,0.0,0.00034202422031651993
124.5,0.0004628,163.41706727215504,254.2,0.0,5.586269182503523e-7,0.0,0.0,0.00012440365574348822,0.0,1.2006207028950586e-5,0.0,1.75369976103062e-7,0.0,0.0,0.00032565614033320774
125.5,0.000441,163.59882144875368,243.6,0.0,5.305343532465359e-7,0.0,0.0,0.00011854177943825832,0.0,1.1420283759697577e-5,0.0,1.6627577219903826e-7,0.0,0.0,0.00031034112667659847
126.5,0.0004208,163.77586243743738,233.7,0.0,5.045854380056559e-7,0.0,0.0,0.00011311020205087459,0.0,1.0878271513750973e-5,0.0,1.5788863549711047e-7,0.0,0.0,0.0002961490523618716
127.5,0.0004016,163.9548516630472,224.1,0.0,4.799777648459218e-7,0.0,0.0,0.00010794755864054456,0.0,1.0363713058987e-5,0.0,1.4994440939577782e-7,0.0,0.0,0.0002826588061262268
128.5,0.0003837,164.13174355067753,215.0,0.0,4.570927958577797e-7,0.0,0.0,0.00010313451467213966,0.0,9.88461770671184e-6,0.0,1.4256562431106458e-7,0.0,0.0,0.00027008120920097965
129.5,0.0003677,164.30800499000554,206.3,0.0,4.3661270344937766e-7,0.0,0.0,9.883231069979737e-5,0.0,9.456071588974351e-6,0.0,1.3595982167519825e-7,0.0,0.0,0.0002588390451861037
130.5,0.0003524,164.43579981838528,198.0,0.0,4.170796428324753e-7,0.0,0.0,9.471489869564492e-5,0.0,9.046903326725544e-6,0.0,1.2966984206713216e-7,0.0,0.0,0.0002480914484927299
