Altitude (km),Total (kg/m3),Neutral Temp. (K),CO2 (kg/m3),N2 (kg/m3),Ar (kg/m3),O2 (kg/m3)
136.5,0.000273,157.4,0.000261261,5.5419e-6,5.6511e-6,5.460000000000006e-7
137.5,0.0002619,157.5,0.0002506383,5.3165700000000005e-6,5.4213300000000005e-6,5.238000000000005e-7
138.5,0.0002497,158.6,0.0002389629,5.06891e-6,5.16879e-6,4.994000000000005e-7
139.5,0.0002375,160.3,0.0002272875,4.82125e-6,4.91625e-6,4.7500000000000043e-7
140.5,0.0002259,161.9,0.0002161863,4.58577e-6,4.6761299999999996e-6,4.518000000000004e-7
141.5,0.0002155,163.0,0.0002062335,4.37465e-6,4.46085e-6,4.310000000000004e-7
142.5,0.0002065,163.6,0.0001976205,4.19195e-6,4.2745500000000004e-6,4.130000000000004e-7
143.5,0.0001979,164.1,0.0001893903,4.01737e-6,4.09653e-6,3.9580000000000035e-7
144.5,0.0001897,164.6,0.00018154289999999999,3.85091e-6,3.92679e-6,3.7940000000000034e-7
145.5,0.0001822,164.9,0.0001743654,3.69866e-6,3.77154e-6,3.644000000000003e-7
146.5,0.0001749,165.1,0.0001673793,3.5504699999999997e-6,3.6204299999999997e-6,3.498000000000003e-7
147.5,0.000168,165.3,0.00016077599999999998,3.4103999999999996e-6,3.4776e-6,3.3600000000000026e-7
148.5,0.000161,165.9,0.000154077,3.2683e-6,3.3327000000000003e-6,3.220000000000003e-7
149.5,0.0001542,166.7,0.0001475694,3.13026e-6,3.19194e-6,3.084000000000003e-7
150.5,0.0001476,167.5,0.0001412532,2.99628e-6,3.0553200000000003e-6,2.9520000000000026e-7
151.5,0.0001416,168.1,0.00013551119999999998,2.8744799999999996e-6,2.93112e-6,2.8320000000000026e-7
152.5,0.0001361,168.3,0.0001302477,2.76283e-6,2.81727e-6,2.7220000000000023e-7
153.5,0.0001309,168.5,0.0001252713,2.65727e-6,2.7096300000000003e-6,2.6180000000000024e-7
154.5,0.0001258,168.7,0.00012039059999999999,2.5537399999999996e-6,2.60406e-6,2.516000000000002e-7
155.5,0.0001211,168.7,0.0001158927,2.45833e-6,2.50677e-6,2.422000000000002e-7
156.5,0.0001166,168.8,0.0001115862,2.36698e-6,2.41362e-6,2.332000000000002e-7
157.5,0.0001122,168.8,0.0001073754,2.27766e-6,2.32254e-6,2.244000000000002e-7
158.5,0.000108,168.7,0.00010335599999999999,2.1924e-6,2.2356e-6,2.160000000000002e-7
159.5,0.0001041,168.6,9.962369999999999e-5,2.11323e-6,2.15487e-6,2.0820000000000018e-7
160.5,0.0001003,168.5,9.59871e-5,2.03609e-6,2.07621e-6,2.0060000000000017e-7
161.5,9.658e-5,168.3,9.242705999999999e-5,1.960574e-6,1.999206e-6,1.9316000000000018e-7
162.5,9.279e-5,168.6,8.880002999999999e-5,1.8836369999999998e-6,1.920753e-6,1.8558000000000016e-7
163.5,8.911e-5,169.0,8.527827e-5,1.808933e-6,1.844577e-6,1.7822000000000018e-7
164.5,8.557e-5,169.4,8.189049e-5,1.7370709999999997e-6,1.7712989999999999e-6,1.7114000000000014e-7
165.5,8.245e-5,169.2,7.890465e-5,1.6737349999999999e-6,1.7067149999999999e-6,1.6490000000000013e-7
166.5,7.995e-5,168.0,7.651215e-5,1.622985e-6,1.6549650000000001e-6,1.5990000000000015e-7
167.5,7.753e-5,166.7,7.419621e-5,1.5738589999999998e-6,1.604871e-6,1.5506000000000015e-7
168.5,7.519e-5,165.4,7.195683e-5,1.526357e-6,1.556433e-6,1.5038000000000013e-7
169.5,7.27e-5,164.5,6.95739e-5,1.47581e-6,1.5048900000000001e-6,1.4540000000000015e-7
170.5,7.023e-5,163.7,6.721011e-5,1.4256689999999997e-6,1.453761e-6,1.404600000000001e-7
171.5,6.786e-5,162.9,6.494202e-5,1.377558e-6,1.4047020000000001e-6,1.3572000000000013e-7
172.5,6.557e-5,162.1,6.275049e-5,1.3310709999999999e-6,1.3572989999999999e-6,1.311400000000001e-7
173.5,6.34e-5,161.0,6.0673799999999995e-5,1.2870199999999998e-6,1.3123799999999998e-6,1.268000000000001e-7
174.5,6.13e-5,160.0,5.86641e-5,1.2443899999999998e-6,1.2689099999999999e-6,1.226000000000001e-7
175.5,5.927e-5,159.0,5.6721389999999995e-5,1.2031809999999999e-6,1.226889e-6,1.1854000000000011e-7
176.5,5.714e-5,158.4,5.468298e-5,1.1599419999999998e-6,1.1827979999999999e-6,1.142800000000001e-7
177.5,5.497e-5,158.1,5.260629e-5,1.115891e-6,1.137879e-6,1.099400000000001e-7
178.5,5.289e-5,157.7,5.061572999999999e-5,1.073667e-6,1.0948229999999999e-6,1.0578000000000009e-7
179.5,5.089e-5,157.4,4.870173e-5,1.033067e-6,1.053423e-6,1.017800000000001e-7
180.5,4.873e-5,157.8,4.663461e-5,9.89219e-7,1.008711e-6,9.746000000000009e-8
181.5,4.665e-5,158.3,4.464405e-5,9.46995e-7,9.65655e-7,9.330000000000009e-8
182.5,4.466e-5,158.7,4.273962e-5,9.06598e-7,9.24462e-7,8.932000000000009e-8
183.5,4.284e-5,158.9,4.099788e-5,8.69652e-7,8.86788e-7,8.568000000000008e-8
184.5,4.124e-5,158.4,3.946668e-5,8.371719999999999e-7,8.536679999999999e-7,8.248000000000007e-8
185.5,3.97e-5,158.0,3.79929e-5,8.0591e-7,8.217900000000001e-7,7.940000000000008e-8
186.5,3.821e-5,157.6,3.656697e-5,7.75663e-7,7.90947e-7,7.642000000000007e-8
187.5,3.655e-5,158.3,3.497835e-5,7.419649999999999e-7,7.56585e-7,7.310000000000007e-8
188.5,3.486e-5,159.3,3.336102e-5,7.07658e-7,7.216020000000001e-7,6.972000000000007e-8
189.5,3.325e-5,160.4,3.182025e-5,6.749749999999999e-7,6.88275e-7,6.650000000000006e-8
190.5,3.173e-5,161.5,3.036561e-5,6.44119e-7,6.568110000000001e-7,6.346000000000007e-8
191.5,3.064e-5,160.7,2.9322479999999998e-5,6.219919999999999e-7,6.34248e-7,6.128000000000006e-8
192.5,2.959e-5,159.9,2.831763e-5,6.006769999999999e-7,6.12513e-7,5.918000000000005e-8
193.5,2.857e-5,159.0,2.734149e-5,5.799709999999999e-7,5.913989999999999e-7,5.714000000000005e-8
194.5,2.754e-5,158.5,2.6355779999999998e-5,5.59062e-7,5.70078e-7,5.508000000000005e-8
195.5,2.643e-5,158.6,2.529351e-5,5.365289999999999e-7,5.471009999999999e-7,5.2860000000000045e-8
196.5,2.537e-5,158.6,2.427909e-5,5.150109999999999e-7,5.25159e-7,5.074000000000004e-8
197.5,2.436e-5,158.7,2.331252e-5,4.94508e-7,5.04252e-7,4.872000000000004e-8
198.5,2.341e-5,158.5,2.240337e-5,4.7522299999999997e-7,4.84587e-7,4.6820000000000045e-8
199.5,2.253e-5,158.2,2.156121e-5,4.5735899999999993e-7,4.66371e-7,4.506000000000004e-8
200.5,2.168e-5,157.9,2.074776e-5,4.4010399999999993e-7,4.4877599999999997e-7,4.336000000000004e-8
201.5,2.086e-5,157.5,1.996302e-5,4.2345799999999995e-7,4.31802e-7,4.172000000000004e-8
202.5,2.0e-5,157.8,1.914e-5,4.06e-7,4.1400000000000003e-7,4.000000000000004e-8
203.5,1.916e-5,158.1,1.833612e-5,3.8894799999999994e-7,3.96612e-7,3.8320000000000035e-8
204.5,1.836e-5,158.4,1.757052e-5,3.72708e-7,3.80052e-7,3.6720000000000034e-8
205.5,1.759e-5,158.6,1.683363e-5,3.5707699999999994e-7,3.6411299999999997e-7,3.518000000000003e-8
206.5,1.687e-5,158.9,1.6144589999999997e-5,3.42461e-7,3.4920899999999996e-7,3.374000000000003e-8
207.5,1.618e-5,159.1,1.548426e-5,3.28454e-7,3.34926e-7,3.236000000000003e-8
208.5,1.552e-5,159.4,1.485264e-5,3.15056e-7,3.21264e-7,3.104000000000003e-8
209.5,1.491e-5,159.3,1.426887e-5,3.0267299999999997e-7,3.0863699999999996e-7,2.9820000000000025e-8
210.5,1.436e-5,158.9,1.3742519999999999e-5,2.91508e-7,2.97252e-7,2.8720000000000025e-8
211.5,1.383e-5,158.5,1.323531e-5,2.80749e-7,2.8628099999999997e-7,2.7660000000000024e-8
212.5,1.332e-5,158.0,1.2747239999999998e-5,2.70396e-7,2.75724e-7,2.6640000000000022e-8
213.5,1.277e-5,158.3,1.222089e-5,2.59231e-7,2.6433899999999997e-7,2.5540000000000022e-8
214.5,1.222e-5,158.9,1.1694539999999999e-5,2.4806599999999997e-7,2.52954e-7,2.4440000000000022e-8
215.5,1.169e-5,159.5,1.118733e-5,2.3730699999999997e-7,2.41983e-7,2.338000000000002e-8
216.5,1.118e-5,160.0,1.069926e-5,2.2695399999999998e-7,2.31426e-7,2.236000000000002e-8
217.5,1.079e-5,159.3,1.032603e-5,2.1903699999999998e-7,2.23353e-7,2.158000000000002e-8
218.5,1.043e-5,158.4,9.98151e-6,2.1172899999999998e-7,2.15901e-7,2.086000000000002e-8
219.5,1.007e-5,157.4,9.63699e-6,2.04421e-7,2.08449e-7,2.0140000000000017e-8
220.5,9.72e-6,156.7,9.30204e-6,1.97316e-7,2.01204e-7,1.9440000000000017e-8
221.5,9.267e-6,157.8,8.868518999999998e-6,1.8812009999999999e-7,1.918269e-7,1.8534000000000016e-8
222.5,8.836e-6,158.9,8.456051999999999e-6,1.793708e-7,1.829052e-7,1.7672000000000014e-8
223.5,8.425e-6,160.0,8.062725e-6,1.7102749999999997e-7,1.7439749999999998e-7,1.6850000000000015e-8
224.5,8.061e-6,160.5,7.714376999999999e-6,1.6363829999999998e-7,1.668627e-7,1.6122000000000014e-8
225.5,7.771e-6,160.0,7.436847e-6,1.577513e-7,1.6085970000000002e-7,1.5542000000000014e-8
226.5,7.492e-6,159.4,7.169843999999999e-6,1.5208759999999998e-7,1.5508439999999998e-7,1.4984000000000014e-8
227.5,7.223e-6,158.9,6.912411e-6,1.466269e-7,1.495161e-7,1.4446000000000012e-8
228.5,6.968e-6,158.2,6.668376e-6,1.4145039999999998e-7,1.442376e-7,1.3936000000000013e-8
229.5,6.727e-6,157.3,6.437739e-6,1.365581e-7,1.392489e-7,1.3454000000000012e-8
230.5,6.494e-6,156.4,6.2147579999999995e-6,1.318282e-7,1.344258e-7,1.2988000000000012e-8
231.5,6.27e-6,155.5,6.0003899999999995e-6,1.27281e-7,1.29789e-7,1.2540000000000012e-8
232.5,6.017e-6,155.5,5.758269e-6,1.221451e-7,1.245519e-7,1.203400000000001e-8
233.5,5.758e-6,155.9,5.5104059999999995e-6,1.1688739999999999e-7,1.1919059999999999e-7,1.151600000000001e-8
234.5,5.511e-6,156.3,5.274027e-6,1.118733e-7,1.1407770000000001e-7,1.1022000000000011e-8
235.5,5.274e-6,156.7,5.047218e-6,1.070622e-7,1.091718e-7,1.054800000000001e-8
236.5,5.068e-6,156.5,4.850076e-6,1.0288039999999999e-7,1.049076e-7,1.0136000000000009e-8
237.5,4.874e-6,156.2,4.664418e-6,9.89422e-8,1.008918e-7,9.748000000000009e-9
238.5,4.688e-6,155.9,4.4864159999999995e-6,9.516639999999999e-8,9.70416e-8,9.376000000000007e-9
239.5,4.508e-6,155.6,4.314156e-6,9.151239999999999e-8,9.331559999999999e-8,9.016000000000008e-9
240.5,4.318e-6,155.9,4.132326e-6,8.76554e-8,8.938259999999999e-8,8.636000000000007e-9
241.5,4.136e-6,156.2,3.958152e-6,8.39608e-8,8.56152e-8,8.272000000000008e-9
242.5,3.962e-6,156.5,3.7916340000000003e-6,8.04286e-8,8.20134e-8,7.924000000000007e-9
243.5,3.792e-6,157.0,3.6289439999999996e-6,7.69776e-8,7.84944e-8,7.584000000000007e-9
244.5,3.617e-6,158.1,3.4614689999999996e-6,7.342509999999999e-8,7.487189999999999e-8,7.234000000000006e-9
245.5,3.45e-6,159.2,3.30165e-6,7.003499999999999e-8,7.1415e-8,6.900000000000006e-9
246.5,3.291e-6,160.2,3.149487e-6,6.68073e-8,6.812369999999999e-8,6.582000000000006e-9
247.5,3.147e-6,161.0,3.011679e-6,6.38841e-8,6.51429e-8,6.294000000000006e-9
248.5,3.025e-6,160.9,2.8949249999999996e-6,6.140749999999999e-8,6.26175e-8,6.050000000000005e-9
249.5,2.908e-6,160.9,2.782956e-6,5.90324e-8,6.01956e-8,5.816000000000005e-9
250.5,2.795e-6,160.8,2.674815e-6,5.6738499999999996e-8,5.78565e-8,5.590000000000005e-9
251.5,2.697e-6,160.2,2.581029e-6,5.47491e-8,5.58279e-8,5.394000000000005e-9
252.5,2.614e-6,158.7,2.501598e-6,5.3064199999999995e-8,5.4109799999999995e-8,5.228000000000005e-9
253.5,2.535e-6,157.2,2.425995e-6,5.146049999999999e-8,5.24745e-8,5.070000000000004e-9
254.5,2.458e-6,155.7,2.352306e-6,4.9897399999999995e-8,5.08806e-8,4.916000000000004e-9
255.5,2.376e-6,154.5,2.273832e-6,4.82328e-8,4.91832e-8,4.752000000000004e-9
256.5,2.29e-6,153.7,2.19153e-6,4.6487e-8,4.7403000000000004e-8,4.5800000000000045e-9
257.5,2.208e-6,152.8,2.1130559999999998e-6,4.482239999999999e-8,4.57056e-8,4.416000000000004e-9
258.5,2.129e-6,152.0,2.0374529999999997e-6,4.3218699999999995e-8,4.407029999999999e-8,4.258000000000003e-9
259.5,2.049e-6,151.4,1.960893e-6,4.15947e-8,4.24143e-8,4.098000000000004e-9
260.5,1.971e-6,150.8,1.8862469999999999e-6,4.0011299999999996e-8,4.07997e-8,3.942000000000003e-9
261.5,1.895e-6,150.3,1.813515e-6,3.84685e-8,3.9226500000000004e-8,3.790000000000004e-9
262.5,1.822e-6,149.8,1.743654e-6,3.69866e-8,3.77154e-8,3.6440000000000035e-9
263.5,1.741e-6,150.2,1.6661369999999998e-6,3.5342299999999996e-8,3.60387e-8,3.482000000000003e-9
264.5,1.661e-6,151.0,1.589577e-6,3.37183e-8,3.43827e-8,3.3220000000000032e-9
265.5,1.585e-6,151.7,1.516845e-6,3.21755e-8,3.28095e-8,3.170000000000003e-9
266.5,1.512e-6,152.4,1.446984e-6,3.06936e-8,3.12984e-8,3.0240000000000028e-9
267.5,1.432e-6,154.3,1.3704239999999999e-6,2.90696e-8,2.96424e-8,2.8640000000000025e-9
