Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
69.5,0.005593,139.47144833759563,2702.0,0.0,6.338956302288954e-6,0.0,0.0,0.0015080769485019778,0.0,0.0001417182231662945,0.0,2.6148749608229297e-6,0.0,0.0,0.0039342509970686146
70.5,0.005345,140.11692142502886,2575.0,0.0,6.046369967359849e-6,0.0,0.0,0.0014411225288568077,0.0,0.00013529817821469612,0.0,2.491969898732333e-6,0.0,0.0,0.003760040953062404
71.5,0.005118,140.75676426881083,2455.0,0.0,5.7786786883206215e-6,0.0,0.0,0.0013798383193405425,0.0,0.0001294230629534211,0.0,2.379550285601793e-6,0.0,0.0,0.003600580388732114
72.5,0.0049,141.40966401764652,2338.0,0.0,5.521859017567258e-6,0.0,0.0,0.0013209857043829426,0.0,0.00012378384102742587,0.0,2.2717492279412126e-6,0.0,0.0,0.003447436846344123
73.5,0.004668,141.9594019686204,2227.0,0.0,5.249450004034396e-6,0.0,0.0,0.0012583661623616442,0.0,0.00011779401017302248,0.0,2.157555157182735e-6,0.0,0.0,0.003284432822304116
74.5,0.00444,142.51057797118963,2121.0,0.0,4.982614174370173e-6,0.0,0.0,0.0011968320593777647,0.0,0.00011191764214283033,0.0,2.0458664189541328e-6,0.0,0.0,0.003124221817886081
75.5,0.004219,143.05641402319623,2021.0,0.0,4.724805461759335e-6,0.0,0.0,0.0011371926961252251,0.0,0.00010623140604649965,0.0,1.9381170637120683e-6,0.0,0.0,0.002968912975302803
76.5,0.003924,143.60057610200923,1926.0,0.0,4.3853702234019735e-6,0.0,0.0,0.001057615696243438,0.0,9.869647798940102e-5,0.0,1.7971308356516655e-6,0.0,0.0,0.0027615053247081077
77.5,0.003662,144.12299574519295,1839.0,0.0,4.0844566561322895e-6,0.0,0.0,0.0009869441765825776,0.0,9.201084941489642e-5,0.0,1.6722529480958488e-6,0.0,0.0,0.002577288264398298
78.5,0.003467,144.63928434528182,1756.0,0.0,3.859197855108413e-6,0.0,0.0,0.0009343309616763033,0.0,8.701948246740072e-5,0.0,1.578526522953044e-6,0.0,0.0,0.002440211831478234
