Particle Name,Weight,Energy (keV),Pitch Angle (deg),Unit Momentum x,Unit Momentum y,Unit Momentum z,Position x (m),Position y (m),Position z (m)
gamma,0.01,38.0515,164.212,-0.0264398,0.206684,0.97805,-74698.7,75209.6,451000
gamma,0.01,2.7284,167.254,0.413626,-0.0584614,0.908568,98337.6,-23695.7,451000
gamma,0.01,6.96712,114.704,-0.789773,-0.46741,0.397223,-778349,-422790,451000
gamma,0.01,27.7675,150.711,-0.212365,-0.380058,0.900254,-22019.3,-444967,451000
gamma,0.01,4.78132,141.529,-0.519435,0.00927254,0.85446,-283109,3283.7,451000
gamma,0.01,3.14535,157.212,0.117343,-0.408102,0.905364,-18498,-162336,451000
gamma,0.01,11.2857,126.385,-0.0576587,-0.847612,0.527475,-104219,-577151,451000
gamma,0.01,6.35342,151.85,-0.315085,-0.153679,0.936538,-185708,-59483.8,451000
gamma,0.01,3.1789,150.777,0.123494,0.533604,0.836669,-12042.2,228213,451000
gamma,0.01,2.28188,141.067,0.679178,-0.420348,0.601686,339994,-251263,451000
gamma,0.01,3.09586,145.015,0.726398,-0.237292,0.64501,339058,-132603,451000
gamma,0.01,20.9484,118.702,-0.680024,-0.548425,0.486618,-566385,-404967,451000
gamma,0.01,4.81491,130.106,0.926554,0.0631664,0.370821,831481,60506.4,451000
gamma,0.01,5.61005,164.258,0.019499,-0.237893,0.971096,-57795.4,-88502.8,451000
gamma,0.01,14.7819,137.518,0.840008,0.222969,0.494642,544294,161119,451000
e-,1,77.6323,117.877,-0.773582,-0.105796,0.624803,262.568,-93.3546,451000
e-,1,131.599,121.822,-0.346788,0.719771,0.601388,247.25,-29.8928,451000
gamma,0.01,28.5118,152.962,0.0974839,-0.490024,0.866241,-25608.6,-212364,451000
gamma,0.01,8.23627,134.57,0.912019,-0.129392,0.389203,809339,-125066,451000
gamma,0.01,9.41657,130.715,-0.691803,-0.0628657,0.719344,-427688,-33342.8,451000
gamma,0.01,9.24157,125.385,0.338075,0.86453,0.371877,272538,869503,451000
gamma,0.01,27.0207,126.237,0.221099,-0.867128,0.446323,117685,-727809,451000
gamma,0.01,72.2617,156.217,0.110553,-0.425947,0.897968,-21649.3,-178174,451000
gamma,0.01,13.7568,140.106,0.578562,-0.541168,0.610248,287124,-332551,451000
gamma,0.01,8.62644,132.395,0.111453,-0.794278,0.597245,2116.78,-498399,451000
gamma,0.01,9.51254,143.622,-0.455298,-0.193852,0.868979,-263836,-84129,451000
gamma,0.01,23.7969,152.648,0.664437,0.0313357,0.746687,265329,15074.9,451000
gamma,0.01,52.8398,125.07,-0.77636,-0.0786074,0.625368,-552440,-90541,451000
gamma,0.01,17.4817,127.056,0.532232,-0.773381,0.344399,510693,-841133,451000
gamma,0.01,55.9563,160.316,0.558214,-0.0859866,0.825229,407397,-357788,451000
gamma,0.01,13.519,119.282,-0.192461,-0.903536,0.38286,-255742,-883102,451000
gamma,0.01,36.1166,130.389,-0.632621,-0.295941,0.715688,-337731,-126580,451000
gamma,0.01,15.0382,136.58,-0.595961,-0.101759,0.796539,-347536,-48455,451000
gamma,0.01,9.50551,124.132,-0.0711462,-0.876006,0.477023,-123547,-687338,451000
gamma,0.01,47.8454,156.307,-0.259168,-0.00734371,0.965804,-168117,-3530.43,451000
gamma,0.01,6.40434,145.079,-0.35562,0.347011,0.867824,-221002,148826,451000
gamma,0.01,24.0294,172.165,0.141362,-0.167095,0.975754,-137062,-193060,451000
gamma,0.01,15.3513,128.839,-0.713096,-0.117981,0.691068,-453609,-64522.6,451000
gamma,0.01,4.07274,128.919,-0.0139562,-0.826833,0.562274,-77060.7,-550529,451000
gamma,0.01,6.27166,116.67,-0.766472,-0.468078,0.439799,-719424,-398641,451000
gamma,0.01,6.61818,150.837,0.0133063,-0.498328,0.866886,-62040.4,-215629,451000
gamma,0.01,12.5573,162.724,0.219685,0.319397,0.921805,21331.1,128869,451000
gamma,0.01,10.4553,170.182,0.179992,0.189271,0.965287,2069.32,72579.1,451000
gamma,0.01,5.55817,125.501,-0.239141,0.809037,0.536909,-233778,561827,451000
gamma,0.01,3.44052,169.909,0.0273459,-0.0980914,0.994802,-57268.9,-37412.1,451000
gamma,0.01,39.9368,116.208,-0.536782,0.759723,0.366995,-613466,772072,451000
gamma,0.01,13.7103,117.222,-0.426193,-0.819444,0.383239,-482618,-798701,451000
gamma,0.01,7.14839,143.494,0.729744,-0.287112,0.620516,371427,-173312,451000
gamma,0.01,35.2717,164.774,-0.059556,0.148388,0.987134,-90048.4,55500.6,451000
gamma,0.01,16.2926,133.742,-0.550174,0.3263,0.768659,-214586,115807,451000
gamma,0.01,23.3564,139.602,0.686663,0.449304,0.571506,380935,292835,451000
gamma,0.01,12.485,135.512,-0.403049,0.531169,0.745259,-269391,265421,451000
e-,1,131.882,132.195,-0.359756,-0.548941,0.754479,187.108,0.136867,451000
e-,1,108.703,109.732,0.392338,0.880518,0.266006,137.38,45.0317,451000
e-,1,103.793,143.998,0.386846,-0.534197,0.751654,248.259,65.9103,451000
e-,1,122.096,129.735,0.272268,-0.751081,0.601455,198.32,-37.9008,451000
e-,1,64.1818,143.433,0.721153,0.116397,0.682928,47.8423,-185.223,451000
e-,1,101.271,113.161,-0.672521,0.522316,0.52431,1.49906,-49.941,451000
e-,1,72.1558,143.295,-0.206747,-0.472495,0.856741,239.377,-159.397,451000
gamma,0.01,26.4942,127.642,-0.147109,-0.81077,0.566579,-165107,-536534,451000
gamma,0.01,8.86346,117.477,-0.562273,-0.721149,0.404714,-588064,-667907,451000
gamma,0.01,27.1881,155.089,-0.205434,-0.223302,0.952855,-126807,3570.46,451000
gamma,0.01,9.07228,113.915,-0.902802,-0.214149,0.372946,-974239,-215747,451000
gamma,0.01,11.5052,120.983,-0.293395,-0.867402,0.401912,-341211,-808803,451000
gamma,0.01,54.9032,134.88,-0.629436,-0.0373029,0.776156,-371527,-18752,451000
gamma,0.01,27.1048,148.281,-0.0685359,-0.513653,0.855256,-97897,-225622,451000
gamma,0.01,54.9962,125.516,-0.658294,-0.435263,0.614162,-469208,-266106,451000
gamma,0.01,23.4599,131.965,-0.581652,-0.381299,0.718534,-370977,-199443,451000
gamma,0.01,6.49227,119.131,-0.356591,-0.833549,0.421946,-384311,-740398,451000
gamma,0.01,15.0563,133.25,0.763811,0.487956,0.422482,609006,431676,451000
e-,1,121.937,144.911,-0.312823,-0.320457,0.89412,209.746,24.9546,451000
e-,1,87.4105,130.379,0.47693,0.672237,0.566247,225.712,19.8605,451000
e-,1,151.69,123.672,0.827933,-0.384783,0.408006,264.17,-17.4409,451000
e-,1,76.4345,141.323,0.754769,0.089285,0.649886,174.326,-61.3759,451000
e-,1,86.01,169.423,0.0105323,0.0513009,0.998628,139.873,92.5551,451000
e-,1,43.5562,127.559,0.893669,0.0631962,0.444254,103.167,-115.295,451000
