Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
321km-322km,0.385336,0.385336,0
322km-323km,0.377032,0.377032,0
323km-324km,0.363641,0.363641,0
324km-325km,0.355409,0.355409,0
325km-326km,0.346513,0.346513,0
326km-327km,0.338447,0.338447,0
327km-328km,0.332649,0.332649,0
328km-329km,1.08949,1.08949,0
329km-330km,0.316074,0.316074,0
330km-331km,0.304361,0.304361,0
331km-332km,0.299386,0.299386,0
332km-333km,0.719244,0.719244,0
333km-334km,0.283001,0.283001,0
334km-335km,0.274244,0.274244,0
335km-336km,0.266347,0.266347,0
336km-337km,0.260457,0.260457,0
337km-338km,0.254624,0.254624,0
338km-339km,0.246849,0.246849,0
339km-340km,0.241191,0.241191,0
340km-341km,0.235481,0.235481,0
341km-342km,0.23053,0.23053,0
342km-343km,0.225081,0.225081,0
343km-344km,0.220006,0.220006,0
344km-345km,0.214682,0.214682,0
345km-346km,0.209316,0.209316,0
346km-347km,0.204797,0.204797,0
347km-348km,0.200016,0.200016,0
348km-349km,0.196587,0.196587,0
349km-350km,0.19072,0.19072,0
350km-351km,0.185966,0.185966,0
351km-352km,0.184587,0.184587,0
352km-353km,0.178812,0.178812,0
353km-354km,0.49697,0.49697,0
354km-355km,0.168755,0.168755,0
355km-356km,0.165709,0.165709,0
356km-357km,0.164597,0.164597,0
357km-358km,0.159682,0.159682,0
358km-359km,0.154648,0.154648,0
359km-360km,0.151406,0.151406,0
360km-361km,0.147403,0.147403,0
361km-362km,0.143327,0.143327,0
362km-363km,0.140654,0.140654,0
363km-364km,0.13636,0.13636,0
364km-365km,0.133084,0.133084,0
365km-366km,0.131962,0.131962,0
366km-367km,0.129234,0.129234,0
367km-368km,0.124927,0.124927,0
368km-369km,0.121009,0.121009,0
369km-370km,0.117442,0.117442,0
370km-371km,0.115986,0.115986,0
371km-372km,0.113545,0.113545,0
372km-373km,0.11081,0.11081,0
373km-374km,0.107811,0.107811,0
374km-375km,0.105991,0.105991,0
375km-376km,0.103412,0.103412,0
376km-377km,0.100271,0.100271,0
377km-378km,0.09892,0.09892,0
378km-379km,0.0969592,0.0969592,0
379km-380km,0.0935559,0.0935559,0
380km-381km,0.0911516,0.0911516,0
381km-382km,0.0898402,0.0898402,0
382km-383km,0.0874913,0.0874913,0
383km-384km,0.0852317,0.0852317,0
384km-385km,0.0828826,0.0828826,0
385km-386km,0.0810823,0.0810823,0
386km-387km,0.0789829,0.0789829,0
387km-388km,0.0771066,0.0771066,0
388km-389km,0.076988,0.076988,0
389km-390km,0.0741183,0.0741183,0
390km-391km,0.0722577,0.0722577,0
391km-392km,0.0703797,0.0703797,0
392km-393km,0.068617,0.068617,0
393km-394km,0.067681,0.067681,0
394km-395km,0.0663347,0.0663347,0
395km-396km,0.0648982,0.0648982,0
396km-397km,0.0634824,0.0634824,0
397km-398km,0.0622489,0.0622489,0
398km-399km,0.0609099,0.0609099,0
399km-400km,0.0593761,0.0593761,0
400km-401km,0.0574953,0.0574953,0
401km-402km,0.0564007,0.0564007,0
402km-403km,0.0565252,0.0565252,0
403km-404km,0.0544299,0.0544299,0
404km-405km,0.0533175,0.0533175,0
405km-406km,0.0516408,0.0516408,0
406km-407km,0.0511146,0.0511146,0
407km-408km,0.0498207,0.0498207,0
408km-409km,0.0486231,0.0486231,0
409km-410km,0.047381,0.047381,0
410km-411km,0.0462307,0.0462307,0
411km-412km,0.0453789,0.0453789,0
412km-413km,0.045442,0.045442,0
413km-414km,0.0434592,0.0434592,0
414km-415km,0.042788,0.042788,0
415km-416km,0.0419819,0.0419819,0
416km-417km,0.0411843,0.0411843,0
417km-418km,0.0406064,0.0406064,0
418km-419km,0.0409402,0.0409402,0
419km-420km,0.039496,0.039496,0
420km-421km,0.0378908,0.0378908,0
421km-422km,0.0366607,0.0366607,0
422km-423km,0.0360039,0.0360039,0
423km-424km,0.0350611,0.0350611,0
424km-425km,0.0351554,0.0351554,0
425km-426km,0.0344627,0.0344627,0
426km-427km,0.0335712,0.0335712,0
427km-428km,0.0333003,0.0333003,0
428km-429km,0.0319446,0.0319446,0
429km-430km,0.0309254,0.0309254,0
430km-431km,0.0300399,0.0300399,0
431km-432km,0.0296384,0.0296384,0
432km-433km,0.029081,0.029081,0
433km-434km,0.0288885,0.0288885,0
434km-435km,0.0283484,0.0283484,0
435km-436km,0.0276021,0.0276021,0
436km-437km,0.0272073,0.0272073,0
437km-438km,0.0264176,0.0264176,0
438km-439km,0.0253696,0.0253696,0
439km-440km,0.0248925,0.0248925,0
440km-441km,0.025277,0.025277,0
441km-442km,0.0247339,0.0247339,0
442km-443km,0.023447,0.023447,0
443km-444km,0.0232114,0.0232114,0
444km-445km,0.0227549,0.0227549,0
445km-446km,0.0224187,0.0224187,0
446km-447km,0.0220002,0.0220002,0
447km-448km,0.0215619,0.0215619,0
448km-449km,0.0213566,0.0213566,0
449km-450km,0.0209686,0.0209686,0
450km-451km,0.00590058,0.00590058,0
451km-452km,0.00596052,0.00596052,0
452km-453km,0.00584627,0.00584627,0
453km-454km,0.00591989,0.00591989,0
454km-455km,0.00576888,0.00576888,0
455km-456km,0.00613925,0.00613925,0
456km-457km,0.00580434,0.00580434,0
457km-458km,0.00530327,0.00530327,0
458km-459km,0.00533123,0.00533123,0
459km-460km,0.00475347,0.00475347,0
460km-461km,0.00477748,0.00477748,0
461km-462km,0.00458188,0.00458188,0
462km-463km,0.00451891,0.00451891,0
463km-464km,0.00443122,0.00443122,0
464km-465km,0.0043921,0.0043921,0
465km-466km,0.00453884,0.00453884,0
466km-467km,0.00473102,0.00473102,0
467km-468km,0.00443968,0.00443968,0
468km-469km,0.00511639,0.00511639,0
469km-470km,0.00433883,0.00433883,0
470km-471km,0.00436957,0.00436957,0
471km-472km,0.00403462,0.00403462,0
472km-473km,0.00381586,0.00381586,0
473km-474km,0.00400966,0.00400966,0
474km-475km,0.00372881,0.00372881,0
475km-476km,0.00371229,0.00371229,0
476km-477km,0.00345382,0.00345382,0
477km-478km,0.00332581,0.00332581,0
478km-479km,0.00330307,0.00330307,0
479km-480km,0.00330455,0.00330455,0
480km-481km,0.00329837,0.00329837,0
481km-482km,0.00323394,0.00323394,0
482km-483km,0.00306534,0.00306534,0
483km-484km,0.00301251,0.00301251,0
484km-485km,0.00306423,0.00306423,0
485km-486km,0.00311987,0.00311987,0
486km-487km,0.00296101,0.00296101,0
487km-488km,0.00290642,0.00290642,0
488km-489km,0.00294539,0.00294539,0
489km-490km,0.00282234,0.00282234,0
490km-491km,0.00271626,0.00271626,0
491km-492km,0.00290164,0.00290164,0
492km-493km,0.00271426,0.00271426,0
493km-494km,0.00271867,0.00271867,0
494km-495km,0.00247896,0.00247896,0
495km-496km,0.00257629,0.00257629,0
496km-497km,0.00255481,0.00255481,0
497km-498km,0.00234321,0.00234321,0
498km-499km,0.00232572,0.00232572,0
